,Title,Poem,Poem_for_Human
0,a player’s skill set,experience is experience of skill set to tell of experience is to tell of skill set to tell tale of experience is to tell tale of skill set tale of experience is tale of skill set skill set is set of skill set of skill is set of player’s skill player’s skill is player’s set of skill to tell tale is to tell player’s experience player’s experience is tale of player’s experience player is player’s tale of experience telling is telling of tale tale is telling of tale tale is player’s tale tell is telling of player’s tale wishing is wishing tale wishing is wishing player’s tale wishing is wishing of telling tale wishing is wishing of telling experience to wish is to tell tale to wish is to tell telling tale tale is tale of wishing tale my writing is called philosophical writing only uses middle ages words words from the renaissance for instance words liked gracious extravaganza etc this poem is about wish is wish of telling experience do not add capitalization’s on my writing on oct 15 2022 10 24 am pst godlucifer skill experience tale rhyme,"experience is experience of a skill set
to tell of a experience is to tell of a skill set
to tell a tale of a experience is to tell a tale of a skill set
a tale of experience is a tale of a skill set
a skill set is a set of skill
a set of skill is a set of a player’s skill
a player’s skill is a player’s set of skill

to tell a tale is to tell a player’s experience
a player’s experience is a tale of a player’s experience
a player is a player’s tale of experience
telling is telling of a tale
a tale is telling of a tale
a tale is a player’s tale
tell is telling of a player’s tale

wishing is wishing a tale
wishing is wishing a player’s tale
wishing is wishing of a telling tale
wishing is wishing of a telling experience
to wish is to tell a tale
to wish is to tell a telling tale
a tale is a tale of a wishing tale
my writing is called philosophical writing. i only uses middle ages words,words from the renaissance. for instance words liked gracious,extravaganza,etc... this poem is about a wish is a wish of a telling experience. i don’t add capitalization’s on my writing. ©  on Oct 15 2022 10:24 AM PST, Godlucifer    skill  • experience  • tale  • rhyme    "
1,a claim of a universe,the universe is claim of claim the universe is claim of stake to claim the universe is to direct the universe the future direct the future the future direct the stake of the future the stake of the future is the direct of the future the stake of the future is the stake of direction the universe is direct universe the universe is direct claim science claim science the direction of the universe is the direction of science to direct is to direct science to its claim to direct is to direct the direction of science science claim its direction of the universe honorary is honorary of science honorary is honorary of direction honorary is honorary of claim honorary is honorary of claim stake in honor is in honor of honorary science in honor is in honor of future science in honor is in honor of claim science my writing is called philosophical writing only uses middle ages words words from the renaissance for instance words liked gracious extravaganza etc this poem is about claim of universe is the direction of the universe do not add capitalization’s on my writing on oct 01 2022 10 07 am pst godlucifer rhyme universe science,"the universe is a claim of a claim
the universe is a claim of a stake
to claim the universe is to direct the universe
the future direct the future
the future direct the stake of the future
the stake of the future is the direct of the future
the stake of the future is the stake of a direction

the universe is a direct universe
the universe is a direct claim
science claim science
the direction of the universe is the direction of science
to direct is to direct science to its claim
to direct is to direct the direction of science
science claim its direction of the universe

honorary is honorary of science
honorary is honorary of a direction
honorary is honorary of a claim
honorary is honorary of a claim stake
in honor is in honor of a honorary science
in honor is in honor of a future science
in honor is in honor of a claim science
my writing is called philosophical writing. i only uses middle ages words,words from the renaissance for instance words liked gracious,extravaganza,etc... this poem is about a claim of a universe is the direction of the universe. i don’t add capitalization’s on my writing. ©  on Oct 01 2022 10:07 AM PST, Godlucifer    rhyme  • universe  • science    "
2,a tiger vengeance,the eye of the tiger is the eye of vengeance the eye of the tiger is the eye of clash tiger the eye of the tiger is the lure of tiger the eye of the tiger is the lure of vengeance vengeance is lure of vengeance vengeance is lure of tiger resolution is lure of resolution resolution is lure of tiger tiger resolution is tiger lure of resolution tiger resolution is tiger beauty tiger resolution is tiger vengeance beauty is the beholder of beauty beauty is the beholder of tiger beauty is clash of beauty beauty is clash of tiger the beholder is the beholder of clash tiger the beholder is the beholder of clash beauty my writing is called philosophical writing only uses middle ages words words from the renaissance for instance words liked gracious extravaganza etc this poem is about tiger’s lure is tiger’s vengeance do not add capitalization’s on my writing on sep 15 2022 11 11 am pst godlucifer rhyme tiger vengeance,"the eye of the tiger is,
the eye of a vengeance
the eye of the tiger is,
the eye of a clash tiger
the eye of the tiger is,
the lure of a tiger
the eye of the tiger is,

the lure of a vengeance
vengeance is a lure of a vengeance
vengeance is a lure of a tiger
resolution is a lure of resolution
resolution is a lure of a tiger
a tiger resolution is a tiger lure of resolution
a tiger resolution is a tiger beauty

a tiger resolution is a tiger vengeance
beauty is the beholder of beauty
beauty is the beholder of a tiger
beauty is a clash of beauty
beauty is a clash of a tiger
the beholder is the beholder of a clash tiger
the beholder is the beholder of a clash beauty
my writing is called philosophical writing. i only uses middle ages words,words from the renaissance for instance words liked gracious,extravaganza,etc... this poem is about a tiger’s lure is a tiger’s vengeance. i don’t add capitalization’s on my writing. ©  on Sep 15 2022 11:11 AM PST, Godlucifer    rhyme  • tiger  • vengeance    "
3,check yourself,check yourself fool check your judgement check yourself by judging yourself pride yourself by judging yourself pride yourself by judging your judgement respect yourself is by judging yourself respect your pride is by judging your pride to fool yourself is to check yourself to fool yourself is to respect yourself respect is to honor yourself to honor yourself is to honor your respect judgement is pride of honor judgement is pride of checking yourself to fool yourself is to pride yourself fool check himself fool fool himself pride yourself to fool yourself pride yourself to honor yourself pride is priding yourself honor is honoring yourself check is checking yourself my writing is called philosophical writing only uses middle ages words words from the renaissance for instance words liked gracious extravaganza etc this poem is about to check yourself is to check your pride do not add capitalization’s on my writing on aug 05 2022 10 07 am pst godlucifer judgement honor pride rhyme,"check yourself fool
check your judgement
check yourself by judging yourself
pride yourself by judging yourself
pride yourself by judging your judgement
respect yourself is by judging yourself
respect your pride is by judging your pride

to fool yourself is to check yourself
to fool yourself is to respect yourself
respect is to honor yourself
to honor yourself is to honor your respect
judgement is a pride of honor
judgement is a pride of checking yourself
to fool yourself is to pride yourself

a fool check himself
a fool fool himself
pride yourself to fool yourself
pride yourself to honor yourself
pride is priding yourself
honor is honoring yourself
check is checking yourself
my writing is called philosophical writing. i only uses middle ages words,words from the renaissance for instance words liked gracious,extravaganza,etc... this poem is about to check yourself is to check your pride. i don’t add capitalization’s on my writing. ©  on Aug 05 2022 10:07 AM PST, Godlucifer    judgement  • honor  • pride  • rhyme    "
4,talk is cheap,you talk the talk can you walk the walk talk is manner’s talk of manner you talk the manner can you walk the manner man’s manner is man’s moral you talk the moral can you walk the moral talking is cheap moral talking is cheap manner moral is cheap talk moral is cheap manner talking is cheap walking is highly talking is cheap walking is highly walking talking is highly talking talking is highly manner of talking talking highly is talking cheap talking highly is walking the walk cheap is highly cheap talk walking cheap is talking cheap walking cheap is walking the cheap walk walking cheap is walking the cheap talk talking is talking cheap walk my writing is called philosophical writing only uses middle ages words words from the renaissance for instance words liked gracious extravaganza etc this poem is about talk is talking cheap walk do not add capitalization’s on my writing on jul 21 2022 10 45 am pst godlucifer talk manner moral rhyme,"you talk the talk can,
you walk the walk
talk is a manner’s talk of manner
you talk the manner can you walk the manner
a man’s manner is a man’s moral
you talk the moral can you walk the moral
talking is a cheap moral

talking is a cheap manner
moral is a cheap talk
moral is a cheap manner
talking is cheap, walking is highly
talking is cheap, walking is highly walking
talking is highly talking
talking is highly a manner of talking

talking highly is talking cheap
talking highly is walking the walk
cheap is highly a cheap talk
walking cheap is talking cheap
walking cheap is walking the cheap walk
walking cheap is walking the cheap talk
talking is talking a cheap walk
my writing is called philosophical writing. i only uses middle ages words,words from the renaissance for instance words liked gracious,extravaganza,etc... this poem is about talk is talking a cheap walk. i don’t add capitalization’s on my writing. ©  on Jul 21 2022 10:45 AM PST, Godlucifer    talk  • manner  • moral  • rhyme    "
5,"a dust of pane,a dust of mass",the air is the dust the air is the mass the dust is the pane the pane is the mass the pane is the air of dust the pane is the air of mass mass is pane of mass the air is the chemical the air is the pane chemical is pane of chemical chemical is pane of air chemical is chemical of mass dust of air is dust of mass dust of air is dust of chemical air pane mass dust pane mass intelligent is air of intelligent intelligent is mass of intelligent pane intelligent is pane mass of intelligent pane intelligent is pane air dust is dust of air intelligent my writing is called philosophical writing only uses middle ages words words from the renaissance for instance words liked gracious extravaganza etc this poem is about the science of time mass and air do not add capitalization’s on my writing on jul 06 2022 11 17 am pst godlucifer dust mass air rhyme,"the air is the dust
the air is the mass
the dust is the pane
the pane is the mass
the pane is the air of dust
the pane is the air of mass
mass is a pane of mass

the air is the chemical
the air is the pane
a chemical is a pane of chemical
a chemical is a pane of air
a chemical is a chemical of mass
a dust of air is a dust of mass
a dust of air is a dust of chemical

air, pane, mass
dust, pane, mass
intelligent is a air of intelligent
intelligent is a mass of intelligent
a pane intelligent is a pane mass of intelligent
a pane intelligent is a pane air
dust is dust of a air intelligent
my writing is called philosophical writing. i only uses middle ages words,words from the renaissance for instance words liked gracious,extravaganza,etc... this poem is about the science of time,mass,and air. i don’t add capitalization’s on my writing.  ©  on Jul 06 2022 11:17 AM PST, Godlucifer    dust  • mass  • air  • rhyme    "
6,speed is a jetted speed,speed is jetted supersonic speed the light of speed is the light of jetted speed jetted is jetted light of speed supersonic is light of supersonic speed light is jetted light of speed light is light of jetted speed mankind is morality mankind morality speed is morality mankind morality speed is morality supersonic speed speed is morality speed speed is morality speed of light mankind speed of light is mankind speed of morality mankind speed of light is mankind speed of light mankind is mankind speed of light speed of light is speed of mankind speed of light is speed of light morality light of speed is speed of light morality speed is morality speed morality is light of morality morality is light of speed speed is speed of morality my writing is called philosophical writing only uses middle ages words words from the renaissance for instance words liked gracious extravaganza etc this poem is about the science of mankind universe do not add capitalization’s on my writing on jun 18 2022 11 10 am pst godlucifer universe light speed rhyme,"speed is a jetted supersonic speed
the light of speed is the light of a jetted speed
jetted is a jetted light of speed
supersonic is a light of a supersonic speed
light is a jetted light of speed
light is light of a jetted speed
mankind is morality mankind

morality speed is morality mankind
morality speed is morality supersonic speed
speed is morality speed
speed is morality speed of light
mankind speed of light is mankind speed of morality
mankind speed of light is mankind speed of light
mankind is mankind speed of light

speed of light is speed of mankind
speed of light is speed of light
morality light of speed is speed of light
morality speed is morality speed
morality is a light of morality
morality is a light of speed
speed is speed of morality

my writing is called philosophical writing. i only uses middle ages words,words from the renaissance for instance words liked gracious,extravaganza,etc... this poem is about the science of a mankind universe. i don’t add capitalization’s on my writing.  ©  on Jun 18 2022 11:10 AM PST, Godlucifer    universe  • light  • speed  • rhyme    "
7,man vs machine,world of man vs world of machine an ocean of man vs an ocean of machine machine vs an ocean of machine machine vs an ocean of man an ocean vs an ocean man verses man machine verses machine an ocean of destruction vs an ocean of destruction kindness is kindness of destruction kindness is kindness of humankindness humankindness is ocean of humankindness humankindness is ocean of destruction verses is verses machine verses is verses man verses is verses kindness verses is verses destruction man vs machine kindness vs humankindness my writing is called philosophical writing only uses middle ages words words from the renaissance for instance words liked gracious extravaganza etc this poem is about kindness is humankindness of man or machine do not add capitalization’s on my writing on apr 27 2022 11 37 am pst godlucifer man machine humankindness rhyme,"a world of man vs a,
world of machine
an ocean of man vs an,
ocean of machine
machine vs an ocean of machine
machine vs an ocean of man
an ocean vs an ocean

man verses man
machine verses machine
an ocean of destruction vs an
ocean of destruction
kindness is kindness of destruction
kindness is kindness of humankindness
humankindness is a ocean of humankindness

humankindness is a ocean of destruction
verses is verses machine
verses is verses man
verses is verses kindness
verses is verses destruction
man vs machine
kindness vs humankindness
my writing is called philosophical writing. i only uses middle ages words,words from the renaissance for instance words liked gracious,extravaganza,etc... this poem is about kindness is humankindness of man or machine. i don’t add capitalization’s on my writing.  ©  on Apr 27 2022 11:37 AM PST, Godlucifer    man  • machine  • humankindness  • rhyme    "
8,showman is marksmanship,showman is marksmanship showman is higher mark of marksmanship higher mark is higher marksmanship higher mark is higher showman showmanship is marksmanship science is marksmanship science is showman science is documentation documentation is science showmanship the universe is documentation of showmanship the universe is documentation of science the universe is higher mark of documentation the universe is higher mark of showman science is showmanship of documentation showmanship is showmanship of science showmanship is showmanship of documentation the universe is universe showmanship showman is showmanship of marksmanship showman is showman of science showman is showman of universe showman is higher mark of showman my writing is called philosophical writing only uses middle ages words words from the renaissance for instance words liked gracious extravaganza etc this poem is about the universe is mark of higher mark do not add capitalization’s on my writing on apr 07 2022 10 47 am pst godlucifer universe science showman marksmanship rhyme,"showman is marksmanship
showman is a higher mark of a marksmanship
a higher mark is a higher marksmanship
a higher mark is a higher showman
showmanship is marksmanship
science is a marksmanship
science is a showman

science is a documentation
documentation is science showmanship
the universe is a documentation of a showmanship
the universe is a documentation of science
the universe is a higher mark of a documentation
the universe is a higher mark of a showman
science is a showmanship of a documentation

showmanship is showmanship of science
showmanship is showmanship of a documentation
the universe is a universe showmanship
a showman is a showmanship of a marksmanship
a showman is a showman of science
a showman is a showman of a universe
a showman is a higher mark of a showman
my writing is called philosophical writing. i only uses middle ages words,words from the renaissance for instance words liked gracious,extravaganza,etc... this poem is about the universe is a mark of a higher mark. i don’t add capitalization’s on my writing.  ©  on Apr 07 2022 10:47 AM PST, Godlucifer    universe  • science  • showman  • marksmanship  • rhyme    "
9,human state ,state being is secret identity state being is human disgrace of identity human disgrace is human state of being mankind is human state of mankind mankind is human state of identity state being is human state of state being human state is human state of mankind mankind is disgrace of mankind mankind is disgrace of identity disgrace is disgrace of secret identity mankind is secret identity of mankind secret identity is secret identity of mankind state being is secret state being state being is secret mankind time is secret of disgrace secret time is secret of secret identity time is secret identity time is secret of time time is time’s secret time is state being of identity time is state being of secret identity my writing is called philosophical writing only uses middle ages words words from the renaissance for instance words liked gracious extravaganza etc this poem is about secret is disgrace of disgrace secret do not add capitalization’s on my writing on mar 11 2022 10 57 am pst godlucifer time mankind secret identity rhyme,"a state being is a secret identity
a state being is a human disgrace of identity
human disgrace is human state of being
mankind is a human state of mankind
mankind is a human state of identity
a state being is a human state of a state being
human state is human state of mankind

mankind is disgrace of mankind
mankind is disgrace of a identity
disgrace is disgrace of a secret identity
mankind is a secret identity of mankind
a secret identity is a secret identity of mankind
a state being is a secret state being
a state being is a secret mankind

time is a secret of a disgrace secret
time is a secret of a secret identity
time is a secret identity
time is a secret of time
time is time’s secret
time is a state being of a identity
time is a state being of a secret identity

my writing is called philosophical writing. i only uses middle ages words,words from the renaissance for instance words liked gracious,extravaganza,etc... this poem is about a secret is a disgrace of a disgrace secret. i don’t add capitalization’s on my writing. 

 ©  on Mar 11 2022 10:57 AM PST, Godlucifer    time  • mankind  • secret  • identity  • rhyme    "
